Version,App,Cost,Bins,Infs,Time,Size,AllocHW,AllocBW,Change,Change_num
binpack_num,speakToMe,86.05130000000001,2,53006,0.009990523999999999,16,"{'n7': 38, 'n2': 296}","{('n7', 'n2'): 8.0, ('n7', 'n6'): 4.0, ('n2', 'n7'): 4.0, ('n1', 'n2'): 2.0}",-175.4563,25.1613
binpack,speakToMe,246.35010000000003,5,55615,0.010311681,16,"{'n15': 8, 'n10': 92, 'n6': 30, 'n5': 4, 'n11': 200}","{('n10', 'n11'): 8.4, ('n6', 'n10'): 6.4, ('n15', 'n10'): 1.6, ('n6', 'n15'): 5.6, ('n15', 'n6'): 1.6, ('n10', 'n6'): 1.6, ('n5', 'n10'): 1.0, ('n11', 'n5'): 2.0, ('n11', 'n15'): 2.4000000000000004, ('n1', 'n10'): 2.0}",3.7818,73.8585
ortools,speakToMe,237.0337,6,584,0.035,16,"{'n6': 34, 'n10': 90, 'n14': 4, 'n0': 4, 'n4': 2, 'n11': 200}","{('n10', 'n11'): 8.4, ('n6', 'n10'): 8.0, ('n0', 'n6'): 1.6, ('n6', 'n0'): 1.6, ('n4', 'n6'): 1.6, ('n14', 'n4'): 1.0, ('n11', 'n14'): 2.0, ('n11', 'n6'): 2.4000000000000004, ('n1', 'n10'): 2.0}",0.0,72.831
ortools_num,speakToMe,64.3997,6,3564,1.879,16,"{'n14': 26, 'n7': 20, 'n12': 32, 'n8': 54, 'n11': 102, 'n13': 100}","{('n7', 'n11'): 6.4, ('n12', 'n7'): 6.4, ('n14', 'n8'): 1.0, ('n12', 'n14'): 4.0, ('n12', 'n6'): 4.0, ('n8', 'n12'): 1.6, ('n12', 'n8'): 2.2, ('n11', 'n12'): 1.6, ('n14', 'n11'): 1.0, ('n13', 'n14'): 2.0, ('n13', 'n12'): 2.4000000000000004, ('n14', 'n13'): 2.0, ('n1', 'n14'): 2.0}",-268.0665,0.0
binpack,speakToMe,459.5361,3,65853,0.012484497000000004,32,"{'n8': 38, 'n10': 96, 'n20': 200}","{('n10', 'n20'): 8.4, ('n8', 'n10'): 8.0, ('n8', 'n0'): 4.0, ('n10', 'n8'): 1.6, ('n20', 'n10'): 2.0, ('n20', 'n8'): 2.4000000000000004, ('n3', 'n10'): 2.0}",4.7514,85.9859
binpack_num,speakToMe,86.05130000000001,2,60396,0.011518139,32,"{'n8': 38, 'n13': 296}","{('n8', 'n13'): 8.0, ('n8', 'n0'): 4.0, ('n13', 'n8'): 4.0, ('n3', 'n13'): 2.0}",-408.652,25.1613
ortools,speakToMe,437.7017,6,1560,0.114,32,"{'n5': 34, 'n9': 44, 'n21': 4, 'n13': 2, 'n10': 50, 'n20': 200}","{('n9', 'n20'): 8.4, ('n5', 'n9'): 6.4, ('n5', 'n10'): 1.6, ('n5', 'n0'): 4.0, ('n21', 'n5'): 1.6, ('n5', 'n21'): 1.6, ('n13', 'n5'): 1.6, ('n9', 'n13'): 1.0, ('n20', 'n9'): 2.0, ('n20', 'n5'): 2.4000000000000004, ('n3', 'n9'): 2.0}",0.0,85.2869
ortools_num,speakToMe,64.3997,8,13772,1.621,32,"{'n18': 32, 'n11': 20, 'n26': 6, 'n8': 20, 'n6': 54, 'n28': 2, 'n0': 100, 'n22': 100}","{('n11', 'n0'): 6.4, ('n18', 'n11'): 6.4, ('n18', 'n6'): 2.6, ('n18', 'n0'): 4.0, ('n6', 'n18'): 1.6, ('n28', 'n18'): 1.6, ('n26', 'n28'): 1.0, ('n22', 'n26'): 4.4, ('n26', 'n6'): 0.6000000000000001, ('n8', 'n22'): 2.0, ('n3', 'n8'): 2.0}",-579.6642,0.0
binpack,speakToMe,230.9327,4,127732,0.021430030000000003,64,"{'n50': 38, 'n47': 92, 'n11': 4, 'n17': 200}","{('n47', 'n17'): 8.4, ('n50', 'n47'): 8.0, ('n50', 'n0'): 4.0, ('n47', 'n50'): 1.6, ('n11', 'n47'): 1.0, ('n17', 'n11'): 2.0, ('n17', 'n50'): 2.4000000000000004, ('n2', 'n47'): 2.0}",3.0173,72.1132
binpack_num,speakToMe,86.05130000000001,2,89088,0.016409313999999994,64,"{'n50': 38, 'n17': 296}","{('n50', 'n17'): 8.0, ('n50', 'n0'): 4.0, ('n17', 'n50'): 4.0, ('n2', 'n17'): 2.0}",-160.2688,25.1613
ortools,speakToMe,223.9647,6,6318,0.446,64,"{'n33': 34, 'n31': 44, 'n50': 4, 'n62': 2, 'n24': 50, 'n10': 200}","{('n31', 'n10'): 8.4, ('n33', 'n31'): 6.4, ('n33', 'n24'): 1.6, ('n33', 'n0'): 4.0, ('n50', 'n33'): 1.6, ('n33', 'n50'): 1.6, ('n62', 'n33'): 1.6, ('n31', 'n62'): 1.0, ('n10', 'n31'): 2.0, ('n10', 'n33'): 2.4000000000000004, ('n2', 'n31'): 2.0}",0.0,71.2456
ortools_num,speakToMe,64.3997,9,54156,4.561,64,"{'n12': 2, 'n43': 20, 'n47': 30, 'n0': 4, 'n61': 2, 'n8': 20, 'n34': 106, 'n25': 50, 'n30': 100}","{('n43', 'n34'): 6.4, ('n47', 'n43'): 6.4, ('n12', 'n25'): 1.0, ('n47', 'n12'): 4.0, ('n47', 'n0'): 4.0, ('n34', 'n47'): 3.2, ('n47', 'n34'): 1.6, ('n0', 'n34'): 1.0, ('n30', 'n0'): 2.0, ('n61', 'n25'): 0.6000000000000001, ('n30', 'n61'): 2.4000000000000004, ('n8', 'n30'): 2.0, ('n2', 'n8'): 2.0}",-247.7729,0.0
binpack,speakToMe,230.9327,5,287589,0.051138717,128,"{'n72': 38, 'n53': 42, 'n4': 4, 'n45': 50, 'n28': 200}","{('n53', 'n28'): 8.4, ('n72', 'n53'): 6.4, ('n72', 'n45'): 1.6, ('n72', 'n0'): 4.0, ('n53', 'n72'): 1.6, ('n4', 'n53'): 1.0, ('n28', 'n4'): 2.0, ('n28', 'n72'): 2.4000000000000004, ('n2', 'n53'): 2.0}",12.3006,72.1132
binpack_num,speakToMe,86.05130000000001,2,185485,0.03555760100000002,128,"{'n40': 38, 'n25': 296}","{('n40', 'n25'): 8.0, ('n40', 'n0'): 4.0, ('n25', 'n40'): 4.0, ('n2', 'n25'): 2.0}",-135.3558,25.1613
ortools,speakToMe,202.5267,7,18328,1.951,128,"{'n5': 34, 'n85': 40, 'n93': 4, 'n31': 4, 'n20': 2, 'n67': 50, 'n126': 200}","{('n85', 'n126'): 8.4, ('n5', 'n85'): 6.4, ('n5', 'n67'): 1.6, ('n5', 'n0'): 4.0, ('n31', 'n5'): 1.6, ('n5', 'n31'): 1.6, ('n20', 'n5'): 1.6, ('n93', 'n20'): 1.0, ('n126', 'n93'): 2.0, ('n126', 'n5'): 2.4000000000000004, ('n2', 'n85'): 2.0}",0.0,68.2019
ortools_num,speakToMe,64.3997,9,214796,20.232,128,"{'n125': 2, 'n38': 20, 'n63': 32, 'n75': 4, 'n69': 20, 'n18': 104, 'n14': 2, 'n100': 50, 'n97': 100}","{('n38', 'n18'): 6.4, ('n63', 'n38'): 6.4, ('n125', 'n100'): 1.0, ('n63', 'n125'): 4.0, ('n63', 'n0'): 4.0, ('n18', 'n63'): 1.6, ('n63', 'n18'): 1.6, ('n14', 'n63'): 1.6, ('n75', 'n14'): 1.0, ('n97', 'n75'): 2.0, ('n63', 'n100'): 0.6000000000000001, ('n97', 'n63'): 2.4000000000000004, ('n69', 'n97'): 2.0, ('n2', 'n69'): 2.0}",-214.4839,0.0
binpack_num,speakToMe,86.05130000000001,2,482758,0.107557966,256,"{'n67': 38, 'n92': 296}","{('n67', 'n92'): 8.0, ('n67', 'n0'): 4.0, ('n92', 'n67'): 4.0, ('n2', 'n92'): 2.0}",-135.3558,25.1613
binpack,speakToMe,230.94590000000002,4,956784,0.19045860300000006,256,"{'n226': 38, 'n57': 42, 'n81': 204, 'n129': 50}","{('n57', 'n81'): 8.4, ('n226', 'n57'): 6.4, ('n226', 'n129'): 1.6, ('n226', 'n0'): 4.0, ('n57', 'n226'): 1.6, ('n81', 'n57'): 1.0, ('n81', 'n226'): 2.4000000000000004, ('n2', 'n57'): 2.0}",12.3056,72.1148
ortools,speakToMe,202.5267,7,86237,10.473,256,"{'n226': 34, 'n243': 40, 'n161': 4, 'n156': 4, 'n174': 2, 'n187': 50, 'n2': 200}","{('n243', 'n2'): 8.4, ('n226', 'n243'): 6.4, ('n226', 'n187'): 1.6, ('n226', 'n0'): 4.0, ('n156', 'n226'): 1.6, ('n226', 'n156'): 1.6, ('n174', 'n226'): 1.6, ('n161', 'n174'): 1.0, ('n2', 'n161'): 2.0, ('n2', 'n226'): 2.4000000000000004, ('n2', 'n243'): 2.0}",0.0,68.2019
ortools_num,speakToMe,64.3997,8,855564,108.143,256,"{'n243': 2, 'n176': 22, 'n127': 30, 'n40': 4, 'n195': 20, 'n47': 56, 'n95': 100, 'n211': 100}","{('n176', 'n95'): 6.4, ('n127', 'n176'): 6.4, ('n243', 'n47'): 1.0, ('n127', 'n243'): 4.0, ('n127', 'n0'): 4.0, ('n47', 'n127'): 3.2, ('n127', 'n47'): 1.6, ('n40', 'n47'): 1.0, ('n211', 'n40'): 2.0, ('n176', 'n47'): 0.6000000000000001, ('n211', 'n176'): 2.4000000000000004, ('n195', 'n211'): 2.0, ('n2', 'n195'): 2.0}",-214.4839,0.0
binpack_num,speakToMe,86.05130000000001,2,1714993,0.4166981080000003,512,"{'n317': 38, 'n78': 296}","{('n317', 'n78'): 8.0, ('n317', 'n8'): 4.0, ('n78', 'n317'): 4.0, ('n2', 'n78'): 2.0}",-135.3558,
binpack,speakToMe,230.9327,4,3463659,0.7738250039999999,512,"{'n68': 38, 'n22': 46, 'n461': 50, 'n78': 200}","{('n22', 'n78'): 8.4, ('n68', 'n22'): 6.4, ('n68', 'n461'): 1.6, ('n68', 'n8'): 4.0, ('n22', 'n68'): 1.6, ('n78', 'n22'): 2.0, ('n78', 'n68'): 2.4000000000000004, ('n2', 'n22'): 2.0}",12.3006,
ortools,speakToMe,202.5267,6,361461,69.533,512,"{'n185': 34, 'n83': 44, 'n218': 4, 'n478': 2, 'n388': 50, 'n182': 200}","{('n83', 'n182'): 8.4, ('n185', 'n83'): 6.4, ('n185', 'n388'): 1.6, ('n185', 'n8'): 4.0, ('n218', 'n185'): 1.6, ('n185', 'n218'): 1.6, ('n478', 'n185'): 1.6, ('n83', 'n478'): 1.0, ('n182', 'n83'): 2.0, ('n182', 'n185'): 2.4000000000000004, ('n2', 'n83'): 2.0}",0.0,
